Número de persona,Generó con el cuál se identifica,Edad,Ciudad de nacimiento,Departamento o país de nacimiento,Ciudades que ha vivido,Departamento o país ciudades que ha vivido,Ciudad de origen de su Padre,Departamento o país origen de su Padre,Ciudad es originaria de su madre,Departamento o país originaria de su madre,Productos capilares,Ropa ajustada,Ropa interior,Maquillaje,Joyería,"Productos o tratamientos de cuidado facial (mascarillas, cremas, láser...)",Ejercicio,Calzado,Considera que existe otro producto o servicio representativo,Productos capilares,Ropa ajustada,Ropa interior,Maquillaje,Joyería,"Productos o tratamientos de cuidado facial (mascarillas, cremas, láser...)",Ejercicio,Calzado,Considera que existe otro producto o servicio representativo,¿ Cuál es la zona corporal más representativa de la belleza femenina?,¿ Cuál es la zona corporal más representativa de la belleza femenina?
1,Hombre,40,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Fresno,Tolima,,,,,,,,,,3,1,1,3,2,1,4,4,Toallas sanitarias,,Todo el cuerpo
1,Hombre,18,Neiva,Huila,Cartagena,Bolívar,Santa Marta,Magdalena,Gigante,Huila,,,,,,,,,,4,3,2,1,3,2,3,3,Cirugías estéticas,,Cara
1,Hombre,18,Neiva,Huila,Neiva,Huila,Santa Marta,Magdalena,Gigante,Huila,,,,,,,,,,4,3,2,1,3,2,3,3,Cirugías estéticas,,Cara
1,Hombre,32,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Granada,Meta,,,,,,,,,,3,3,5,4,5,4,5,5,Cirugías estéticas,,Rostro
1,Hombre,22,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Medellín,Antioquia,Granada,Meta,,,,,,,,,,5,3,4,4,2,5,4,3,Cirugías estéticas,,Rostro
1,Hombre,53,Bogotá,Cundinamarca,Chía,Cundinamarca,Sogamoso,Boyacá,Honda,Tolima,,,,,,,,,,5,4,4,4,4,3,3,5,Vivienda,,Rostro
1,Hombre,44,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Ibagué,Tolima,,,,,,,,,,2,3,4,4,5,4,3,4,Toallas sanitarias,,Busto
1,Hombre,40,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Popayán,Tolima,La palma,Cundinamarca,,,,,,,,,,5,4,5,5,4,5,4,4,Masajes reductores y tratamientos de adelgazamiento y de belleza,,"Sonrisa, Rostro, Senos, Trasero, Cintura"
1,Hombre,19,Barranquilla,Atlantico,Barranquilla,Atlantico,Barranquilla,Atlantico,Los ángeles,Estado Unidos,,,,,,,,,,1,1,1,3,3,3,3,4,Cirugías estéticas,,Su rostro
1,Hombre,19,Barranquilla,Atlantico,Bogotá,Cundinamarca,Barranquilla,Atlantico,Los ángeles,Estado Unidos,,,,,,,,,,1,1,1,3,3,3,3,4,Cirugías estéticas,,Su rostro
1,Hombre,19,Barranquilla,Atlantico,Los Ángeles,Estado Unidos,Barranquilla,Atlantico,Los ángeles,Estado Unidos,,,,,,,,,,1,1,1,3,3,3,3,4,Cirugías estéticas,,Su rostro
1,Hombre,21,Bogotá,Cundinamarca,Seattle,Estados Unidos,Bogotá,Cundinamarca,Palermo,Huila,,,,,,,,,,2,3,4,4,3,3,4,1,Cirugías estéticas,,Rostro
1,Hombre,16,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Tunja,Boyacá,Santa Marta,Atlantico,,,,,,,,,,5,2,1,2,1,2,4,1,Toallas sanitarias,,Cara
1,Hombre,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Santana,Boyaca,,,,,,,,,,4,4,4,4,4,4,4,4,,,La cara
1,Hombre,17,Bucaramanga,Santander,Playón,Santander,Cúcuta,Norte de Santander,Santander de Quilichao,Cauca,,,,,,,,,,2,4,1,3,4,2,4,3,,,Cabello
1,Hombre,50,Sogamoso,Boyacá,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Sogamoso,Boyacá,,,,,,,,,,4,4,4,4,4,4,4,4,Alimentación,,Cuerpo y rostro
1,Hombre,66,Sotaquira,Boyacá,Bogotá,Cundinamarca,Sotaquira,Boyacá,Tuta,Boyacá,,,,,,,,,,4,5,5,5,5,5,4,4,Cirugías estéticas,,Cadera cara busto
1,Hombre,66,Sotaquira,Boyacá,Bucaramanga,Santander,Sotaquira,Boyacá,Tuta,Boyacá,,,,,,,,,,4,5,5,5,5,5,4,4,Cirugías estéticas,,Cadera cara busto
1,Hombre,66,Sotaquira,Boyacá,Cali,Valle del cauca,Sotaquira,Boyacá,Tuta,Boyacá,,,,,,,,,,4,5,5,5,5,5,4,4,Cirugías estéticas,,Cadera cara busto
