Número de persona,Generó con el cuál se identifica,Edad,Ciudad de nacimiento,Departamento o país de nacimiento,Ciudades que ha vivido,Departamento o país ciudades que ha vivido,Ciudad de origen de su Padre,Departamento o país origen de su Padre,Ciudad es originaria de su madre,Departamento o país originaria de su madre,Productos capilares,Ropa ajustada,Ropa interior,Maquillaje,Joyería,"Productos o tratamientos de cuidado facial (mascarillas, cremas, láser...)",Ejercicio,Calzado,Considera que existe otro producto o servicio representativo,Productos capilares,Ropa ajustada,Ropa interior,Maquillaje,Joyería,"Productos o tratamientos de cuidado facial (mascarillas, cremas, láser...)",Ejercicio,Calzado,Considera que existe otro producto o servicio representativo,¿ Cuál es la zona corporal más representativa de la belleza femenina?,¿ Cuál es la zona corporal más representativa de la belleza femenina?
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bucaramanga,Santander,4,2,3,4,3,4,5,4,,,,,,,,,,,Rostro,
1,Mujer,19,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Florencia,Caquetá,Bucaramanga,Santander,4,3,2,4,4,3,3,3,,,,,,,,,,,La cintura,
1,Mujer,23,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Cali,Valle del cauca,3,1,5,5,3,4,3,4,Cirugías plásticas,,,,,,,,,,Busto,
1,Mujer,16,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Cali,Valle del cauca,3,3,3,4,4,5,3,3,Cirugías plásticas,,,,,,,,,,Depende de cada mujer,
1,Mujer,15,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Chiscas,Boyacá,Chiscas,Boyaca,3,2,2,3,2,2,3,2,Cirugías plásticas,,,,,,,,,,"Todo el cuerpo o lo que cada mujer quiera relucir más, es decisión de cada una",
1,Mujer,41,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Mariquita,Tolima,Chita,Norte de Santander,5,2,5,1,1,3,5,5,Cirugías plásticas,,,,,,,,,,Busto,
1,Mujer,47,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Talaigua nuevo,Bolívar,Cúcuta,Norte de Santander,3,2,4,3,5,3,5,4,,,,,,,,,,,Todo,
1,Mujer,50,Bogotá,Cundinamarca,Girardot,Tolima,Rovira,Tolima,Dolores,Tolima,4,3,3,3,4,4,4,4,Estudio,,,,,,,,,,Rostro,
1,Mujer,50,Bogotá,Cundinamarca,Girardot,Tolima,Rovira,Tolima,Dolores,Tolima,4,3,3,3,4,4,4,4,Estudio,,,,,,,,,,Rostro,
1,Mujer,50,Bogotá,Cundinamarca,Tunja,Boyacá,Rovira,Tolima,Dolores,Tolima,4,3,3,3,4,4,4,4,Estudio,,,,,,,,,,Rostro,
1,Mujer,50,Bogotá,Cundinamarca,Tunja,Boyacá,Rovira,Tolima,Dolores,Tolima,4,3,3,3,4,4,4,4,Estudio,,,,,,,,,,Rostro,
1,Mujer,15,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Facatativá,Cundinamarca,2,4,5,4,4,5,4,4,,,,,,,,,,,Cara,
1,Mujer,15,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Facatativá,Cundinamarca,2,4,5,4,4,5,4,4,,,,,,,,,,,Cara,
1,Mujer,33,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Pasca,Cundinamarca,Fomeque,Cundinamarca,4,5,5,5,3,5,4,5,,,,,,,,,,,Figura,
1,Mujer,15,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Fusa,Cundinamarca,3,2,5,3,2,2,5,3,,,,,,,,,,,Rostro,
1,Mujer,15,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Fusagasugá,Cundinamarca,5,3,4,4,5,3,4,4,,,,,,,,,,,Las piernas,
1,Mujer,21,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Guateque,Boyacá,Garagoa,Boyocá,4,3,3,3,3,4,3,3,,,,,,,,,,,Senos,
1,Mujer,21,Bogotá,Cundinamarca,Duitama,Boyacá,Guateque,Boyacá,Garagoa,Boyocá,4,3,3,3,3,4,3,3,,,,,,,,,,,Senos,
1,Mujer,46,Pitalito,Huila,Bogotá,Cundinamarca,Garzon,Boyacá,Garzon,Huila,5,3,5,3,3,4,4,4,,,,,,,,,,,Rostro,
1,Mujer,49,Florencia,Caquetá,Florencia,Caquetá,Florencia,Caquetá,Génova,Quindio,4,3,4,5,4,3,4,5,,,,,,,,,,,LOS OJOS,
1,Mujer,49,Florencia,Caquetá,Pitalito,Huila,Florencia,Caquetá,Génova,Quindio,4,3,4,5,4,3,4,5,,,,,,,,,,,LOS OJOS,
1,Mujer,26,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Soata,Boyacá,Guateque,Boyacá,2,3,5,5,5,3,3,1,,,,,,,,,,,Área vaginal,
1,Mujer,45,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Quetame,Cundinamarca,Gutiérrez,Cundinamarca,5,4,5,4,4,4,5,4,,,,,,,,,,,Rostro,
1,Mujer,39,Pitalito,Huila,Bogotá,Cundinamarca,Neiva,Huila,Neiva,Huila,5,5,5,5,5,5,5,5,,,,,,,,,,,El físico,
1,Mujer,40,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Santa Marta,Magdalena,Ibagué,Tolima,5,1,2,2,3,3,4,2,Limpieza,,,,,,,,,,rostro,cabello
1,Mujer,19,Ibagué,Tolima,Bogotá,Cundinamarca,Ortega,Tolima,Ibagué,Tolima,3,3,3,2,2,2,3,3,Accesorios (carteras),,,,,,,,,,Busto,
1,Mujer,50,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Junín,Cundinamarca,Junín,Cundinamarca,5,3,4,4,3,3,4,4,,,,,,,,,,,Cuerpo,
1,Mujer,50,Bogotá,Cundinamarca,Villavicencio,Meta,Junín,Cundinamarca,Junín,Cundinamarca,5,3,4,4,3,3,4,4,,,,,,,,,,,Cuerpo,
1,Mujer,55,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Guasca,Cundinamarca,Junín,Cundinamarca,4,2,3,3,1,3,5,3,Educación,,,,,,,,,,Rostro,
1,Mujer,36,Cali,Valle del cauca,Bogotá,Cundinamarca,Guamo,Bolívar,La Sierra,Cundinamarca,4,3,4,4,3,4,4,5,Spa,,,,,,,,,,El rostro,
1,Mujer,36,Cali,Valle del cauca,Cali,Valle del cauca,Guamo,Bolívar,La Sierra,Cundinamarca,4,3,4,4,3,4,4,5,Spa,,,,,,,,,,El rostro,
1,Mujer,54,Bogotá,Cundinamarca,Buenaventura,Valle del cauca,Armero,Tolima,Málaga,Santander,5,1,5,3,4,4,5,4,Comida fitness,,,,,,,,,,Cara,
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Manta,Cundinamarca,4,3,5,2,3,4,3,5,Aseo personal,,,,,,,,,,La cara xd,
1,Mujer,19,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Sutatausa,Cundinamarca,Manta,Cundinamarca,5,3,3,5,4,5,4,3,,,,,,,,,,,Cabello,
1,Mujer,60,Medellín,Antioquia,Bogotá,Cundinamarca,Medellín,Antioquia,Medellín,Antioquia,5,3,5,5,3,3,5,5,Educación,,,,,,,,,,El rostro,
1,Mujer,19,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Medellín,Antioquia,Medellín,Antioquia,2,3,1,3,3,4,1,1,,,,,,,,,,,Los senos,
1,Mujer,18,Santa Marta,Magdalena,Bogotá,Cundinamarca,Santa Marta,Magdalena,Medellín,Antioquia,4,3,3,4,3,5,5,4,"Marcas de ropa, etc",,,,,,,,,,La cintura,
1,Mujer,18,Santa Marta,Magdalena,Santa Marta,Magdalena,Santa Marta,Magdalena,Medellín,Antioquia,4,3,3,4,3,5,5,4,"Marcas de ropa, etc",,,,,,,,,,La cintura,
1,Mujer,46,Miraflores,,Bogotá,Cundinamarca,Miraflores,Boyacá,Miraflores,Boyacá,5,4,5,3,3,3,3,5,Gym,,,,,,,,,,Cara,
1,Mujer,27,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Cabrera,Cundinamarca,Miraflores,Boyacá,5,3,5,5,3,4,4,5,,,,,,,,,,,El cabello,
1,Mujer,25,Mocoa,,Bogotá,Cundinamarca,Mocoa,Putumayo,Mocoa,Putumayo,3,4,5,3,3,3,3,5,Perfume,,,,,,,,,,Senos,
1,Mujer,30,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bucaramanga,Santander,Pasto,Nariño,5,3,5,4,4,4,4,4,Cirugías,,,,,,,,,,Cola,
1,Mujer,47,Pitalito,Huila,Pitalito,Huila,San Agustin,Huila,Neiva,Huila,4,2,4,4,3,4,5,5,,,,,,,,,,,El cuerpo,
1,Mujer,47,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Nuevo Colón,Boyacá,Nuevo Colón,Boyacá,3,3,4,4,4,5,4,4,,,,,,,,,,,TODO EL CUERPO,
1,Mujer,48,Oporapa,Huila,Bogotá,Cundinamarca,Oporapa,Huila,Oporapa,Huila,4,4,5,5,3,5,5,3,,,,,,,,,,,Glúteos,
1,Mujer,18,Pitalito,Huila,Cali,Valle del cauca,Oporapa,Huila,Oporapa,Huila,4,2,2,2,2,3,3,2,,,,,,,,,,,La cara,
1,Mujer,23,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Sotaquira,Boyacá,Oporapa,Huila,4,4,5,4,4,3,2,4,,,,,,,,,,,Busto,
1,Mujer,45,Guadalupe,Huila,Bogotá,Cundinamarca,Villeta,Cundinamarca,Pacho,Cundinamarca,4,2,3,4,3,3,4,4,Comida Saludable,,,,,,,,,,La cara,
1,Mujer,45,Guadalupe,Huila,Bucaramanga,Santander,Villeta,Cundinamarca,Pacho,Cundinamarca,4,2,3,4,3,3,4,4,Comida Saludable,,,,,,,,,,La cara,
1,Mujer,45,Guadalupe,Huila,Neiva,Huila,Villeta,Cundinamarca,Pacho,Cundinamarca,4,2,3,4,3,3,4,4,Comida Saludable,,,,,,,,,,La cara,
1,Mujer,15,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Zipaquirá,Cundinamarca,Pacho,Cundinamarca,3,3,4,4,4,5,5,4,Deporte,,,,,,,,,,Los senos,
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Sogamoso,Boyacá,Paipa,Boyacá,5,5,5,5,5,4,2,5,,,,,,,,,,,La retaguardia y los senos,
1,Mujer,21,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Pasto,Nariño,2,4,3,4,3,2,3,4,,,,,,,,,,,Cabello,
1,Mujer,16,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Villavicencio,Santander,Pasto,Nariño,5,3,4,4,3,4,5,3,,,,,,,,,,,La que no es física,
1,Mujer,23,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Pasto,Nariño,3,5,5,4,5,4,3,5,Cirugías estéticas,,,,,,,,,,La Cola y los senos,
1,Mujer,44,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Pesca,Boyacá,5,4,5,5,5,5,5,5,Look,,,,,,,,,,La cara,
1,Mujer,24,Pitalito,Huila,Bogotá,Cundinamarca,Pitalito,Huila,Pitalito,Huila,5,4,5,5,5,5,5,3,,,,,,,,,,,El rostro,
1,Mujer,24,Pitalito,Huila,Bogotá,Cundinamarca,Pitalito,Huila,Pitalito,Huila,5,4,5,5,5,5,5,3,,,,,,,,,,,El rostro,
1,Mujer,24,Pitalito,Huila,Medellín,Antioquia,Pitalito,Huila,Pitalito,Huila,5,4,5,5,5,5,5,3,,,,,,,,,,,El rostro,
1,Mujer,24,Pitalito,Huila,Medellín,Antioquia,Pitalito,Huila,Pitalito,Huila,5,4,5,5,5,5,5,3,,,,,,,,,,,El rostro,
1,Mujer,24,Pitalito,Huila,Palmira,Valle del cauca,Pitalito,Huila,Pitalito,Huila,5,4,5,5,5,5,5,3,,,,,,,,,,,El rostro,
1,Mujer,24,Pitalito,Huila,Palmira,Valle del cauca,Pitalito,Huila,Pitalito,Huila,5,4,5,5,5,5,5,3,,,,,,,,,,,El rostro,
1,Mujer,24,Pitalito,Huila,Pereira,Risaralda,Pitalito,Huila,Pitalito,Huila,5,4,5,5,5,5,5,3,,,,,,,,,,,El rostro,
1,Mujer,24,Pitalito,Huila,Pereira,Risaralda,Pitalito,Huila,Pitalito,Huila,5,4,5,5,5,5,5,3,,,,,,,,,,,El rostro,
1,Mujer,24,Pitalito,Huila,Pitalito,Huila,Pitalito,Huila,Pitalito,Huila,5,4,5,5,5,5,5,3,,,,,,,,,,,El rostro,
1,Mujer,24,Pitalito,Huila,Pitalito,Huila,Pitalito,Huila,Pitalito,Huila,5,4,5,5,5,5,5,3,,,,,,,,,,,El rostro,
1,Mujer,51,Pitalito,Huila,Pitalito,Huila,Pitalito,Huila,Pitalito,Huila,4,4,2,3,2,3,5,4,,,,,,,,,,,Nalgas,
1,Mujer,51,Pitalito,Huila,Neiva,Huila,Pitalito,Huila,Pitalito,Huila,4,4,2,3,2,3,5,4,,,,,,,,,,,Glúteos,
1,Mujer,51,Pitalito,Huila,Bogotá,Cundinamarca,Pitalito,Huila,Pitalito,Huila,4,4,2,3,2,3,5,4,,,,,,,,,,,Glúteos,
1,Mujer,51,Popayán,Tolima,Bogotá,Cundinamarca,Popayán,Tolima,Popayán,Tolima,3,3,4,4,3,5,4,3,,,,,,,,,,,Cara,
1,Mujer,51,Popayán,Tolima,Cali,Valle del cauca,Popayán,Tolima,Popayán,Tolima,3,3,4,4,3,5,4,3,,,,,,,,,,,Cara,
1,Mujer,51,Popayán,Tolima,Popayán,Cauca,Popayán,Tolima,Popayán,Tolima,3,3,4,4,3,5,4,3,,,,,,,,,,,Cara,
1,Mujer,48,Purificación,Tolima,Bogotá,Cundinamarca,Purificación,Tolima,Purificación,Tolima,3,2,2,4,3,3,4,3,,,,,,,,,,,Pecho,
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Ramiriquí,Boyacá,4,3,3,4,2,4,3,3,Ropa con colores llamativos,,,,,,,,,,Cara,
1,Mujer,47,Pitalito,Huila,Bogotá,Cundinamarca,Pitalito,Huila,Saladoblanco,Huila,4,4,5,5,5,5,4,4,,,,,,,,,,,El rostro,
1,Mujer,39,Valparaíso,Chile,Pitalito,Huila,Guadalupe,Huila,San Agustín,Hula,3,3,5,5,3,3,4,4,,,,,,,,,,,Glúteos,
1,Mujer,21,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Suesca,Cundinamarca,San Miguel,Putumayo,3,2,3,3,4,2,4,4,,,,,,,,,,,La piel,
1,Mujer,43,Cali,Valle del cauca,Cali,Valle del cauca,Cali,Valle del cauca,Santander de Quilichao,Cauca,3,2,2,2,2,2,4,4,.,,,,,,,,,,Las manos,
1,Mujer,43,Cali,Valle del cauca,Bogotá,Cundinamarca,Cali,Valle del cauca,Santander de Quilichao,Cauca,3,2,2,2,2,2,4,4,.,,,,,,,,,,Las manos,
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Cunday,Tolima,Socorro,Santander,5,3,3,3,2,4,4,4,El cuidado de las uñas,,,,,,,,,,Cabello,
1,Mujer,18,Bogotá,Cundinamarca,Girardot,Tolima,Cunday,Tolima,Socorro,Santander,5,3,3,3,2,4,4,4,El cuidado de las uñas,,,,,,,,,,Cabello,
1,Mujer,46,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Ibagué,Tolima,Sogamoso,Boyacá,5,2,5,5,4,5,5,5,,,,,,,,,,,Cara,
1,Mujer,58,Sutatausa,Cundinamarca,Bogotá,Cundinamarca,Sutatausa,Cundinamarca,Sutatausa,Cundinamarca,5,1,5,2,3,3,5,3,Alimentación,,,,,,,,,,La cara,
1,Mujer,39,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Topaga,Boyacá,4,4,4,4,4,3,4,4,,,,,,,,,,,Rostro,
1,Mujer,60,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Tunja,Boyacá,Tunja,Boyacá,5,2,2,4,2,3,3,4,,,,,,,,,,,Cabeza,
1,Mujer,14,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Valledupar,Cesar,4,5,5,4,4,4,4,4,,,,,,,,,,,Ojos,
1,Mujer,14,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Valledupar,Cesar,4,5,5,4,4,4,4,4,,,,,,,,,,,Ojos,
1,Mujer,14,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Pasto,Nariño,Victoria,Caldas,1,2,2,3,1,1,1,1,,,,,,,,,,,Cabello,
1,Mujer,30,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bucaramanga,Santander,Zipaquirá,Cundinamarca,4,4,4,5,3,4,4,4,Cirugías estéticas,,,,,,,,,,Cara,
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Salamina,Caldas,Zipaquirá,Cundinamarca,4,3,3,4,4,4,5,4,,,,,,,,,,,La cara,
