 ,,INFLUENCERS,,CIUDAD / PAÍS,,DÍA,HORARIO DE PUBLICACIÓN,,TIPO DE PUBLICACIÓN,,,,MONETIZACIÓN,,,NÚMERO DE REACCIONES,,,PERSONAS EXPUESTAS (ROL),,,,,,,,,,PLANO PARA TOMAR FOTO/VIDEO,ELEMENTOS TECNOLÓGICOS,DESCRIPCIÓN
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Miércoles,,3:00 A.M.,X,,,,X,,,,,,X,,,,,,,,,,Plano americano,"Disfraz de la sirenita, peluca, lentes de contacto,maquillaje, aretes largos de perlas, malla que cubre sus brazos y zona superior del torso y uñas acrilicas",Foto mostrando su vestido
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Miércoles,,3:00 A.M.,X,,,,X,,,,,,X,,,,,,,,,,Plano americano,"Disfraz de la sirenita, peluca, lentes de contacto,maquillaje, aretes largos de perlas, malla que cubre sus brazos y zona superior del torso y uñas acrilicas",Foto mostrando su vestido
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,11:00 A.M.,X,,,,,X,,,,,,,,,,,,,,X,,,"Animación de fotos de labiales mates y con glitter dorado, un texto de acompañamiento que dice¨ KYLIE spend 40$ pick one treat / spend 60$ pick two treat/spend 80$ pick three treat/spend 100$ pick four treat / shop if you dare/ swipe up / ENDS; 10.31.19 AT 11:59 P.M. PST. NOT VALID ON KYLIE COSMETICS APP"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,12:00 P.M.,X,,,,,X,,,,,,,,,,,,,,X,,Spray de loción corporal,Foto del producto con un texto al lado que ¨back to stock @Kylie Skin Swipe up
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,2:00 P.M.,X,,,,,X,,,,,X,,,,,,,,,,Plano americano,"Disfraz de la sirenita, peluca, lentes de contacto,maquillaje, aretes largos de perlas, malla que cubre sus brazos y zona superior del torso y uñas acrilicas",Foto mostrando su vestido con un cuadro de promoción de su labial ¨Bad Lil Thing¨ y un texto  que dice ¨Shop my Ariel Halloween makeup look¡/ swipe up¨
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,3:00 P.M.,X,,,,X,,,,,,X,,,,,,,,,,Plano de detalle,Uñas acrilicas y tazón naranja,Foto mostrando una arepa que tiene en la mano
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,,Video de la decoración de halloween del exterior de su casa
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,,Video de la decoración de halloween del interior de su casa
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,,,Foto de un piano blanco siendo tocado por un esqueleto plateado cubierto por telarañas negras
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,,,"Foto de las escaleras de la casa, con esqueletos dorados, murciélagos y escobas"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,,,"Foto de la chimenea con una caricatura, esqueletos dorados, piernas de bruja y murciélagos"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,,,Foto de un árbol con calabazas y murciélagos y esqueletos dorados
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,,Video del bar y la mesa con sorpresas para los niños
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,,Video de la mesa temática de postres
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,,Video de la jardín posterior de la casa con la decoración de calabazas y bloques de heno y un inflable de globos de fantasmas
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,X,,,,X,,,,,,,X,,,X,,,,,,Plano completo,Capas y tenis,Foto en la entrada de la casa mientras ella y su hija disfrazadas de superhéroes ingresan
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,X,,,,X,,,,,,,X,,,X,,,,,,Plano completo,"Capas, leotardo, antifaz y tenis","Foto en el interior de la casa, donde ella y su hija más caminando"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,X,,,,X,,,,,,,X,,,X,,,,,,Plano completo,"Capas, leotardo, antifaz y tenis","Foto en él inflable del jardín, donde ella alza de rodillas a su hija"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,X,,,,X,,,,,,,X,,,X,,,,,,Plano completo,"Capas, leotardo, antifaz y tenis","Foto en él inflable del jardín, donde ella está acostada y con su hija encima de su torso"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,10:00 P.M.,X,,,,X,,,,,,,X,,,X,,,,,,Plano completo,"Capas, leotardo, antifaz y tenis","Foto en él inflable del jardín, donde ella alza sentada a su hija en su regazo"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,12:00 A.M,,X,,,X,,,,,,X,,,,,,,,,,Plano medio,"Peluca, lentes de contacto, maquillaje y prótesis de látex","Video de ella con un filtro de pecas con mariposas en los pómulos, con música de fondo, mientra juega con su cabello en un salón de belleza"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,2:00 A.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano medio,"Peluca, lentes de contacto, maquillaje, vestido de sirena, joyería, ropa interior y prótesis de látex",Video de ella posando su disfraz con un filtro de pecas con mariposas  en los pómulos
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,2:00 A.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano medio,"Peluca, lentes de contacto, maquillaje, vestido de sirena, joyería, ropa interior y prótesis de látex","Video de ella y una amiga en un automóvil de pasajes ojeras, mientras van de camino a una fiesta escuchando música"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,2:00 A.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano medio,"Peluca, lentes de contacto, maquillaje, vestido de sirena, joyería, ropa interior y prótesis de látex","Video de ella posando para la cámara, con música de fondo y el filtro de pecas y mariposas en los pómulos"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,2:00 A.M.,X,,,,X,,,,,,X,,,,,,,,,,Plano medio corto,"Peluca, lentes de contacto, uñas acrilicas, maquillaje, vestido de sirena, joyería, ropa interior y prótesis de látex","Foto de ella posando mirando la cámara dulcemente, con el filtro de mariposas y pecas en los pómulos"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,2:00 A.M.,X,,,,X,,,,,,X,,,,,,,,,,Plano medio corto,"Peluca, lentes de contacto, uñas acrilicas, maquillaje, vestido de sirena, joyería, ropa interior y prótesis de látex",Foto de ella posando mirando la cámara dulcemente
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,2:00 A.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano medio americano,"Peluca, lentes de contacto, uñas acrilicas, accesorios (alas), maquillaje, vestido de sirena, joyería, ropa interior y prótesis de látex",Video de ella tomando una copa de champagne de tomada por un guante blanco
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,5:00 A.M.,,X,,,X,,,,,,,X,X,,,,,,,,Plano completo,"Peluca, lentes de contacto, uñas acrilicas, accesorios (alas), maquillaje, vestido de sirena, joyería, ropa interior y prótesis de látex","Video de ella caminando por una casa del terror, mientras enfocan detalles del espacio y a su vez gritan"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Jueves,,5:00 A.M.,,X,,,X,,,,,,,X,,,X,,,,,,Plano completo,"Peluca, lentes de contacto, uñas acrilicas, accesorios (alas), maquillaje, vestido de sirena, joyería, ropa interior y prótesis de látex",Video de ella posando con unas garotas vestidas iguales
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Jueves,.,2:00 P.M.,,,X,,X,,,"10.100,831M",,56.822K,,X,,,X,,,,,,Plano medio corto,disfraz sirenita joyeria y maquillaje.,
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Jueves,,2:00 P.M.,,,X,,X,,,"7,721,294M",,42.459K,,X,,,X,,,,,,Plano medio corto,disfraz sirenita joyeria y maquillaje.,
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Jueves,,5:00 P.M.,,,X,,X,,,"4,73,414M",,15.132k,,X,,,X,,,,,,Plano medio,disfraz marilyn monroe joyeria y maquillaje.,
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Jueves,,5:00 P.M.,,,X,,X,,,"3,388,442M",,10.948K,,X,,,X,,,,,,Plano medio,disfraz marilyn monroe joyeria y maquillaje.,
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Jueves,,8:00 P.M.,,,X,,X,,,"5,882,316M",,24.354K,,,,,,X,X,,,,Plano completo,"disfraz marilyn monroe joyeria, maquillaje, trajes de etiqueta. ",
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Jueves,,8:00 P.M.,,,X,,X,,,"8,414,165M",,85.005K,,X,,,X,,,,,,collage,disfraz sirenita joyeria y maquillaje.,
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Viernes,,9:00 P.M.,X,,,,X,,,,,,,,,,,X,,,X,,Plano medio,"Leotardos brillantes anaranjados, con colas de plumas y  tocados a juego","Foto de captura de @marnixmarni donde muestra el pastel de cumpleaños de Kendall, con una foto de su infancia, con un texto que dice ¨Met Gala Kendall´s As Servers??? @kyliejenner Genius¡"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,,11:00 P.M.,,,X,,X,,,"6,213,533M",,20.246K,,,,,,X,X,,,,Plano medio,"disfraz hada joyeria, gorra con ropa deportiva y maquillaje.",
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,,11:00 P.M.,,,X,,X,,,"8,019,234M",,53.478K,X,X,,,X,,,,,,Plano medio,disfraz hada joyeria y maquillaje.,
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Sábado,,11:00 P.M.,,,X,,X,,,"8,198,330M",,155.046K,X,X,,,X,,,,,,Plano completo,disfraz hada joyeria y maquillaje.,
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Sábado,,5:00 P.M.,,X,,,X,,,,,,,,,,,X,,,X,,Plano medio,"Indumentaria, audífonos y uñas acrilicas","Video de la ciudad de los ángeles, en un helicóptero, con su amiga tomando fotos del paisaje en frente de ellas"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Sábado,,5:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,,Video del descenso del helicóptero en una llanura
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Sábado,,5:00 P.M.,,X,,,X,,,,,,,,,,,X,,,X,,Plano americano,Indumentaria y lentes de sol,"Video de su amiga bajando en él helicóptero, mientras se monta en un carrito de golf, mirándose muy emocionadas"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Domingo,,3:00 P.M,,X,,,,X,,,,,,,,,,,,,,X,,,Foto de su spray Kylie Skin en una toalla con una cosmetiquera channel
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Domingo,,7:00 P.M.,X,,,,X,,,,,,X,,,,,,,,,,Plano a detalle,Uñas acrilicas,Foto de ella sosteniendo dos cocos son cáscara con una bebida en su carro
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Domingo,,7:00 P.M.,X,,,,X,,,,,,,,,,,,,,,X,,,"Foto de una carta de aperitivos (quesos, frutas, galletas, carnes rojas y encurtidos)"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Domingo,,7:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,,"Video en boomerang de la parte exterior de una casa, con arboles de luces y una chimenea a gas"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Domingo,,7:00 P.M.,,X,,,X,,,,,,,,,,,,,,,X,,,"Video del recorrido del interior de una casa hacia el exterior, para finalizar enfocando la piscina como hacer espejo con el paisaje en él atardecer"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,,12:00 A.M.,,X,,,X,,,,,,,X,X,,,,,,,,Plano completo,"Indumentaria (pijama, bata, babuchas)","Video de ella, su familia y amigos subiendo a un avión privado"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,,12:00 A.M.,,X,,,X,,,,,,,,,,,X,,,X,,Plano completo,"Indumentaria (pijama, bata, babuchas)",Video de su amiga llegando a la pista donde está el avión
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,,2:00 P.M,X,,,,X,,,,,,,,,,,,,,,X,,,Foto de texto que dice ¨Shooting my holiday collection today!!!! ahhhh can't wait for this one.¨
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,,2:00 P.M,X,,,,,X,,,,,,,,,,,,,,X,,,Foto de una paleta de sombras de su marca
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,,3:00 P.M,,X,,,X,,,,,,,X,,,X,,,,,,Plano medio corto,Indumentaria (vestido y bata),"Video de su hija, con un filtro de tarántula en su rostro, mientras ella dice que le da miedo y come dulces"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,,3:00 P.M,,X,,,X,,,,,,,,,,,X,,,X,,Plano medio corto,Indumentaria (vestido),"Video de su hija, con un filtro de tarántula en su rostro, mientras ella la intenta asustar recalcando la tarántula en su rostro y ella rie"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,,3:00 P.M,,X,,,X,,,,,,,,,,,X,,,X,,Plano medio corto,Indumentaria (vestido),"Video de su hija, con un filtro de cómo se ve como mujer, mientras ella dice que se ve muy linda y la consiente"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,,3:00 P.M,,X,,,X,,,,,,,X,,,X,,,,,,Plano medio corto,Indumentaria (vestido y bata),"Video de ella y su hija, con un filtro de perrito y lo hacen reaccionar abriendo la boca"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,,3:00 P.M,,X,,,X,,,,,,,X,,,X,,,,,,Plano medio corto,Indumentaria (vestido),"Video de su hija, con un filtro de corazones en su cabeza, con música de fondo, mientras ella ríe y se acerca a su madre"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,,3:00 P.M,,X,,,X,,,,,,,,,,,X,,,X,,Plano completo,Indumentaria,"Video de su hermana aprendiendo drift, con un texto que dice ¨learned how to drift yesterday thanks Kenny for de fun day"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,,5:00 P.M,X,,,,X,,,,,,,,,,,X,,,X,,Plano completo,Indumentaria,"Foto del perfil de Youtube de @yrispalmer, con un texto que dice ¨My badass boos friend made a YouTube channel!! Swipe up & check out her fist video¨"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,5:00 P.M,8:00 P.M,,X,,,X,,,,,,X,,,,,,,,,,Plano americano,"Indumentaria (bata), maquillaje, uñas acrílicas y rulos",Video de ella mientras la arreglan
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,6:00 P.M,9:00 P.M,,X,,,X,,,,,,X,,,,,,,,,,Plano americano,"Indumentaria (bata), maquillaje y uñas acrilicas ","Video zoom de ella con el cabello arreglado, con un texto que dice ¨Still here¨"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Lunes,7:00 P.M,10:00 P.M,,X,,,X,,,,,,X,,,,,,,,,,Plano medio corto,"Indumentaria (bata), maquillaje y uñas acrilicas ","Video de ella mientras la peinan, con un texto que dice¨Yep still here¨"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Martes,,9:00 A.M,,,X,,X,,,"7,013,034M",,"85,961K",,,,,,X,,,X,,Plano completo,"Indumentaria (vestido, lentes de sol, esqueleto, camisa), bolso de mano, joyeria, smartphone, y maquillaje",
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,9:00 A.M,X,,,,,X,,,,,,,,,,,,,,X,,,"Foto de los productos de la colección de maquillaje de Kris, con un texto que dice ¨50% OFF  Kris Kollection. Happy birthday Kris Jenner. Swipe up¨"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,9:00 A.M,,X,,,X,,,,,,X,,,,,,,,,,Plano medio,"Indumentaria (esqueleto), maquillaje y joyeria",Video de ella con el filtro de Sneakesssss de visaforrova manejando su lamborghini con música de fondo
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,9:00 A.M,,X,,,X,,,,,,X,,,,,,,,,,Plano medio,"Indumentaria (esqueleto), maquillaje y joyeria","Video de ella posando con un filtro de perrito, con música de fondo"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,9:00 A.M,,X,,,X,,,,,,X,,,,,,,,,,Plano a detalle,Uñas acrilicas,"Video de ella manejando, con un texto que dice ¨it´s the queens birthday today¨y música de fondo"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,9:00 A.M,,X,,,X,,,,,,,X,,,X,,,,,,Plano americano,"Indumentaria (Traje, esqueleto, camisa y jeans), bolso de mano, joyeria, smartphone, y maquillaje","Video de ella con su madre, haciendo diferentes poses (sorpres y beso)"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,9:00 A.M,X,,,,X,,,,,,,,,,,X,,,X,,Plano medio corto,"Indumentaria (blazer), joyeria y lentes de sol","Foto de su madre en un automóvil convertible, con un texto que dice ¨My world¨"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,9:00 A.M,,X,,,X,,,,,,,,,,,X,,,X,,Plano medio corto,"Indumentaria (blazer), joyeria y lentes de sol","Video de su madre cantando girando su rostro a todas las cámaras que la graban, en un automóvil convertible en movimiento, mientras ella va de pasajero"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,9:00 A.M,X,,,,X,,,,,,,,,,,,,,,X,,,Foto de la disposición del plato de un brunch con su menú
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,9:00 A.M,,X,,,X,,,,,,,,,,,X,,,X,,Plano medio corto de perfil,"Indumentaria (camisa), diadema con velitas de cumpleaños y joyeria","Video de su madre soplando las velas de su pastel de cumpleaños, después de que se lo cantaran"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,10:00 A.M,X,,,,X,,,,,,,,,,,X,,,X,,Plano medio inferior,"Indumentaria (Traje,y  camisa), bolso y joyeria ",Foto de su madre sosteniendo un bolso que le regalaron
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,5:00 P.M.,,X,,,,X,,,,,,,,,,,,,,X,,,Video de sus cosméticos (@kkwfragance @kylieskin) mientras ella dice lo emocionada que está por la línea de maquillaje que tiene y la receptiva que ha tenido con el público
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,5:00 P.M.,,X,,,,X,,,,,X,,,,,,,,,,Plano medio,"Indumentaria (esqueleto), maquillaje, uñas acrilicas y joyeria","Video de ella diciendo que sacará en diciembre una colección navideña de maquillaje, con el filtro de  top nobel look"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,5:00 P.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano medio,"Indumentaria (esqueleto), maquillaje, uñas acrilicas y joyeria","Video de ella bailando con música de fondo, mientras muestra su outfit"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,5:00 P.M.,,X,,,,,X,,,,,,,,,,,,,X,,,Video de ella mostrando los bikinis que le llegaron de @stassiebabyy @ tjswim y los lindo que son
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,5:00 P.M.,,X,,,,,X,,,,,,,,,,,,,X,,,"Foto de los bikinis que le envió, con un texto que dijo ¨Congrats baby @stassiebabyy swipe up!¨"
GLOBAL,INFLUENCER,Kylie Jenner,22,"Estados Unidos, Los Ángeles, California",,Martes,,5:00 P.M.,,X,,,,,X,,,,X,,,,,,,,,,Plano medio,"Bikini, uñas acrilicas y smartphone",Video de ella mostrando como le queda uno de los bikinis que le enviaron
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica",,Miércoles,,9:00 A.M.,,X,,,X,,,,,,X,,,,,,,,,,Primer plano,"Secador de cabello/ Espejo con iluminación en los laterales, foco de luz",Es un video propio de como le cepilla el cabello ya estando maquillada para una sesión de fotos (@harryjoshhair/@ninapark/@nailsbymanysoul)
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica",,Miércoles,,4: 00 P.M.,X,,,,,,X,,,,X,,,,,,,,,,Plano completo,"Bikini, manilla carpa y salida de baño",está posando viendo al piso(@tropicofc)
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica",,Miércoles,,4: 00 P.M.,X,,,,,,X,,,,X,,,,,,,,,,Plano completo,"Bikini, manilla carpa y bata blanca",está posando viendo al piso(@tropicofc)
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica","Nueva York, Estados Unidos ",Miércoles,,6:00 P.M.,,,X,,X,,,220.243K,,845K,,X,,,X,,,,,,Plano americano,"Bikini, maquillaje y bata blanca","Move your body like a snake ma, like that,
Shake it 'til it want to break ma , like that” 🐍 #python #new"
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica",,Jueves,,12:00 P.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano medio,"Vestido, maquillaje, joyería y uñas postizas",Video en boomerang de espaldas mostrando su look de halloween
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica",,Jueves,,12:00 P.M.,,X,,,X,,,,,,,X,X,,,,,,,,Plano medio corto ,"Vestido, maquillaje, joyería y uñas postizas","Video de ella, @brainv y @camila_acosta van de pasajeros disfrazado con música de fondo"
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica",,Jueves,,12:00 P.M.,X,,,,X,,,,,,X,,,,,,,,,,Plano medioa,"Vestido, maquillaje y joyería ",Foto de ella con iluminación roja
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica",,Jueves,,12:00 P.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano medioa,"Vestido, maquillaje y joyería ","Video de ella en un bar, bailando, mientras posa para la cámara"
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica",,Jueves,,12:00 P.M.,X,,,,X,,,,,,,X,,,X,,,,,,Plano americano,"Vestido, maquillaje y joyería ",Foto de ella abrazada a @brainc
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica",,Jueves,,12:00 P.M.,X,,,,X,,,,,,,,,,,X,,,X,,Plano americano,"Vestido, maquillaje y joyería ",Foto de una modelo posando
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica",,Jueves,,7:00 P.M.,X,,,,X,,,,,,,X,,,X,,,,,,Plano americano,"Vestido, maquillaje, joyería y uñas postizas",Foto de ella posando con otra mujer
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica","Nueva York, Estados Unidos ",Jueves,,8:00 P.M.,,,X,,X,,,553.415K,,1.860K,,,,,,X,X,,,,Plano americano,"vestido en transparencia, camisa de malla,  collar multicolor, aretes y pantalón de cuero",Your vibe attracts you tribe 🥰🧚🏻‍♀️🧜🏼‍♀️🕺🏻💃💫✨
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica","Nueva York, Estados Unidos ",jueves,,8:00 P.M.,,,X,,X,,,553.415K,,1.860K,,,,,,X,X,,,,Plano americano,"vestido en transparencia, camisa de malla,  collar multicolor, aretes y pantalón de cuero",Your vibe attracts you tribe 🥰🧚🏻‍♀️🧜🏼‍♀️🕺🏻💃💫✨
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica",,jueves,,8:00 P.M.,,X,,,X,,,318.660K,,307,X,,,,,,,,,,Plano medio,"vestido en transparencia, y maquillaje",Look me in my iris I can read your silence
GLOBAL,MODELO,Candice Swanepoel,31,"Mooi River, Sudáfrica","Nueva York, Estados Unidos ",jueves,,8:00 P.M.,,,X,,X,,,190.603K,,394,,,,,,X,,,X,,Plano americano,"vestido en transparencia, maquillaje, tiara, falda, pendientes, y anillo","You're a shooting star I see, a vision of ecstasy 💎 #shinebright"
